nic_4digit,nic_2digit,sector_name,region,year,inr_usd,intensity_kg_co2e_per_inr_lakh,log_intensity,is_augmented
221,22,Rubber products,north,2012,53.4,0.41021256,-0.89107981,1
263,26,Communication equipment,west,2020,74.2,0.16248651,-1.81716031,1
293,29,Auto parts and accessories,north,2021,73.9,0.30043929,-1.20250959,1
771,77,Renting of equipment,central,2020,74.2,0.02054903,-3.88494132,1
900,90,Creative and performing arts,north,2010,45.7,0.0153422,-4.17714824,1
206,20,Other chemical products,east,2018,68.4,0.53117475,-0.63266422,1
853,85,Secondary education,east,2017,65.1,0.01696208,-4.07677509,1
101,10,Processing meat,north,2021,73.9,0.14026668,-1.96420982,1
251,25,Structural metal products,south,2018,68.4,0.83863854,-0.17597549,1
611,61,Wired telecommunications,east,2020,74.2,0.0508119,-2.97962463,1
192,19,Refined petroleum products,central,2020,74.2,0.79964066,-0.22359283,1
741,74,Design activities,north,2017,65.1,0.00677481,-4.99454355,0
206,20,Other chemical products,east,2020,74.2,0.32929715,-1.11079474,1
382,38,Treatment of non-hazardous waste,south,2014,61.0,0.20812534,-1.56961476,1
631,63,Data processing,south,2020,74.2,0.02078736,-3.87341038,1
810,8,Quarrying of stone,west,2011,46.7,0.07195035,-2.63177897,1
211,21,Basic pharmaceuticals,east,2015,65.5,0.29688758,-1.21440173,1
251,25,Structural metal products,north,2021,73.9,0.62886657,-0.46383617,1
871,87,Residential care,west,2020,74.2,0.02123859,-3.85193526,1
641,64,Banking,east,2015,65.5,0.01173968,-4.44478114,1
262,26,Computers and peripherals,north,2018,68.4,0.24947805,-1.38838435,1
210,2,Forestry and logging,north,2011,46.7,0.02709769,-3.60830693,0
493,49,Other land passenger transport,south,2011,46.7,0.0999531,-2.3030542,1
206,20,Other chemical products,east,2023,83.1,0.38848891,-0.94549066,1
310,31,Furniture,south,2020,74.2,0.18278292,-1.69945608,1
242,24,Basic precious metals,west,2015,65.5,0.6997905,-0.35697427,1
461,46,Wholesale of agricultural materials,central,2012,53.4,0.03926154,-3.23750995,0
812,81,Building cleaning,central,2019,70.4,0.01598842,-4.13589084,1
310,31,Furniture,west,2023,83.1,0.17130639,-1.76430156,1
651,65,Insurance,central,2014,61.0,0.00599685,-5.11652123,1
243,24,Aluminium,north,2013,58.6,8.86549852,2.18216717,1
245,24,Copper products,west,2020,74.2,3.30043305,1.19405369,1
631,63,Data processing,central,2020,74.2,0.0256725,-3.6623349,0
203,20,Paints and coatings,south,2023,83.1,0.21439024,-1.53995738,1
421,42,Roads and railways construction,west,2017,65.1,0.31967079,-1.14046358,0
303,30,Aircraft,south,2015,65.5,0.28734338,-1.24707733,1
681,68,Real estate activities,central,2016,67.1,0.01683697,-4.08417809,0
131,13,Spinning and weaving,east,2020,74.2,0.13599245,-1.99515594,1
810,8,Quarrying of stone,central,2021,73.9,0.07334051,-2.61264219,1
104,10,Vegetable and animal oils,west,2011,46.7,0.09686784,-2.33440772,1
311,3,Marine fishing,west,2013,58.6,0.1086102,-2.21998997,1
812,81,Building cleaning,central,2012,53.4,0.01611604,-4.1279402,1
252,25,Tanks and reservoirs,east,2023,83.1,0.53829751,-0.61934389,1
321,3,Aquaculture,east,2017,65.1,0.07454385,-2.59636773,0
301,30,Ships and boats,south,2014,61.0,0.29135945,-1.23319755,1
106,10,Grain mill products,north,2013,58.6,0.10120558,-2.29060134,0
106,10,Grain mill products,south,2017,65.1,0.07656255,-2.56964729,1
512,51,Air freight,south,2016,67.1,1.17570171,0.16186517,0
262,26,Computers and peripherals,south,2010,45.7,0.22737533,-1.48115317,0
960,96,Personal service activities,east,2021,73.9,0.01982629,-3.92074665,1
651,65,Insurance,west,2015,65.5,0.00495933,-5.30648431,1
101,10,Processing meat,north,2013,58.6,0.15555451,-1.86075905,1
351,35,Generation of electricity,south,2014,61.0,0.95901847,-0.04184494,1
720,7,Mining of non-ferrous metal ores,south,2022,78.6,0.23864618,-1.43277325,1
252,25,Tanks and reservoirs,central,2019,70.4,0.71717348,-0.33243751,1
710,7,Mining of iron ores,central,2016,67.1,0.22704317,-1.4826151,1
251,25,Structural metal products,north,2017,65.1,0.67288758,-0.396177,1
411,41,Building construction,south,2019,70.4,0.26638443,-1.32281478,1
203,20,Paints and coatings,south,2010,45.7,0.3788073,-0.97072765,1
107,10,Bakery products,south,2019,70.4,0.0611,-2.79524341,0
261,26,Electronic components,west,2012,53.4,0.34576547,-1.06199457,1
471,47,Retail in non-specialised stores,central,2014,61.0,0.02112358,-3.85736531,0
131,13,Spinning and weaving,west,2011,46.7,0.19670913,-1.62602914,0
720,7,Mining of non-ferrous metal ores,south,2021,73.9,0.25205049,-1.37812585,1
501,50,Sea transport,east,2011,46.7,0.02198401,-3.81743974,0
871,87,Residential care,west,2011,46.7,0.02787601,-3.5799889,1
101,10,Processing meat,west,2022,78.6,0.10415849,-2.26184164,1
221,22,Rubber products,north,2016,67.1,0.35720779,-1.02943761,1
303,30,Aircraft,south,2016,67.1,0.27591491,-1.28766275,1
731,73,Advertising,central,2017,65.1,0.00785508,-4.84659499,1
104,10,Vegetable and animal oils,central,2010,45.7,0.08765126,-2.43438933,1
103,10,Processing fruits and vegetables,east,2014,61.0,0.10234429,-2.27941277,1
104,10,Vegetable and animal oils,south,2018,68.4,0.08269976,-2.4925386,1
581,58,Publishing,central,2021,73.9,0.02209478,-3.81241388,0
243,24,Aluminium,central,2018,68.4,6.61581029,1.88946228,1
731,73,Advertising,south,2017,65.1,0.00804551,-4.82264135,1
491,49,Passenger rail transport,south,2017,65.1,0.03638086,-3.31371243,1
861,86,Hospital activities,east,2014,61.0,0.06275965,-2.7684429,1
321,3,Aquaculture,central,2017,65.1,0.06081981,-2.79983977,1
891,8,Mining of chemical minerals,west,2013,58.6,0.22394859,-1.49633878,1
103,10,Processing fruits and vegetables,east,2011,46.7,0.13977798,-1.96769998,1
321,3,Aquaculture,central,2011,46.7,0.07928063,-2.53476149,1
461,46,Wholesale of agricultural materials,central,2021,73.9,0.03213786,-3.43772043,0
210,2,Forestry and logging,central,2014,61.0,0.02464418,-3.70321463,0
611,61,Wired telecommunications,central,2021,73.9,0.03735105,-3.28739426,1
771,77,Renting of equipment,west,2013,58.6,0.02129332,-3.84936202,1
651,65,Insurance,north,2023,83.1,0.00733042,-4.91572235,1
721,72,R&D — natural sciences,south,2010,45.7,0.02390095,-3.73383727,1
104,10,Vegetable and animal oils,west,2018,68.4,0.08817996,-2.42837556,0
451,45,Sale of motor vehicles,north,2016,67.1,0.02702134,-3.61112829,1
105,10,Dairy products,east,2010,45.7,0.22307916,-1.5002286,1
161,16,Sawmilling and planing,south,2023,83.1,0.07133244,-2.64040408,1
475,47,Retail of household goods,north,2016,67.1,0.025846,-3.6555993,1
681,68,Real estate activities,south,2018,68.4,0.01441718,-4.23933487,0
201,20,Basic chemicals,north,2017,65.1,0.58965954,-0.52820996,1
205,20,Soap and detergents,north,2017,65.1,0.21238018,-1.54937731,1
232,23,Refractory products,north,2023,83.1,0.50588189,-0.68145205,0
303,30,Aircraft,east,2020,74.2,0.29777703,-1.2114103,1
281,28,General machinery,south,2011,46.7,0.45462261,-0.78828763,1
782,78,Temporary employment agencies,central,2020,74.2,0.0051345,-5.27177281,0
383,38,Recycling of metal waste,north,2016,67.1,0.09788555,-2.32395635,1
491,49,Passenger rail transport,east,2015,65.5,0.0481051,-3.03436698,1
211,21,Basic pharmaceuticals,north,2018,68.4,0.25087112,-1.38281593,1
871,87,Residential care,south,2013,58.6,0.02917192,-3.53454851,1
311,3,Marine fishing,north,2022,78.6,0.1318271,-2.02626404,1
210,2,Forestry and logging,west,2017,65.1,0.0209625,-3.86501999,1
462,46,Wholesale of textiles,east,2018,68.4,0.02784941,-3.58094344,1
651,65,Insurance,central,2010,45.7,0.00753243,-4.88853705,1
431,43,Demolition and site preparation,south,2023,83.1,0.13071543,-2.0347326,0
231,23,Glass products,west,2017,65.1,0.54841567,-0.60072176,1
151,1,Mixed farming,north,2021,73.9,0.0774752,-2.55779734,0
244,24,"Lead, zinc, and tin",south,2021,73.9,2.70627191,0.99557201,1
731,73,Advertising,east,2020,74.2,0.00745578,-4.89876554,1
491,49,Passenger rail transport,east,2016,67.1,0.04807375,-3.03501904,1
731,73,Advertising,central,2014,61.0,0.01135932,-4.4777164,1
252,25,Tanks and reservoirs,east,2011,46.7,0.88327777,-0.12411555,1
239,23,Other non-metallic mineral products,central,2020,74.2,0.3599251,-1.02185932,1
631,63,Data processing,central,2022,78.6,0.0258839,-3.6541341,1
431,43,Demolition and site preparation,north,2020,74.2,0.13600078,-1.99509466,1
235,23,Cement and lime,south,2013,58.6,0.94308469,-0.05859919,1
491,49,Passenger rail transport,east,2023,83.1,0.04313573,-3.14340371,0
243,24,Aluminium,central,2011,46.7,7.45632396,2.00906253,1
900,90,Creative and performing arts,central,2023,83.1,0.01098249,-4.51145353,1
293,29,Auto parts and accessories,east,2011,46.7,0.52899033,-0.63678513,0
102,10,Processing fish,central,2015,65.5,0.12880635,-2.04944518,1
235,23,Cement and lime,east,2022,78.6,1.02992137,0.02948246,1
232,23,Refractory products,south,2014,61.0,0.51163662,-0.67014064,1
191,19,Coke oven products,west,2013,58.6,1.03670066,0.03604322,1
421,42,Roads and railways construction,south,2017,65.1,0.30662301,-1.18213628,0
151,15,Leather tanning,west,2011,46.7,0.16444875,-1.80515629,1
239,23,Other non-metallic mineral products,central,2021,73.9,0.33331713,-1.0986609,1
235,23,Cement and lime,east,2012,53.4,1.6389911,0.49408087,1
510,5,Mining of hard coal,east,2019,70.4,0.1702,-1.77078106,0
221,22,Rubber products,west,2021,73.9,0.26714598,-1.31996002,0
232,23,Refractory products,north,2019,70.4,0.5179156,-0.65794298,1
221,22,Rubber products,west,2012,53.4,0.32636152,-1.11974954,0
192,19,Refined petroleum products,east,2013,58.6,1.04685981,0.04579503,1
370,37,Sewerage treatment,central,2017,65.1,0.12295031,-2.09597503,0
681,68,Real estate activities,east,2022,78.6,0.02231819,-3.80235307,1
141,1,Raising cattle,west,2013,58.6,0.18525107,-1.68604325,1
244,24,"Lead, zinc, and tin",north,2014,61.0,4.1688804,1.42764751,1
262,26,Computers and peripherals,north,2015,65.5,0.25394734,-1.37062835,1
206,20,Other chemical products,north,2013,58.6,0.38706922,-0.94915173,1
771,77,Renting of equipment,east,2018,68.4,0.01913257,-3.9563634,1
475,47,Retail of household goods,west,2016,67.1,0.01571451,-4.15317096,0
221,22,Rubber products,east,2019,70.4,0.33305073,-1.09946045,1
512,51,Air freight,west,2019,70.4,1.11301199,0.10706985,1
853,85,Secondary education,north,2021,73.9,0.01058359,-4.548451,1
551,55,Hotels,east,2016,67.1,0.11925747,-2.12647048,1
210,2,Forestry and logging,central,2020,74.2,0.0215649,-3.83668829,0
303,30,Aircraft,west,2021,73.9,0.27409273,-1.2942888,1
311,3,Marine fishing,east,2022,78.6,0.09679831,-2.33512577,1
205,20,Soap and detergents,central,2016,67.1,0.2211614,-1.50886253,1
221,22,Rubber products,south,2010,45.7,0.32012172,-1.13905398,1
511,51,Air passenger transport,west,2019,70.4,0.30045171,-1.20246822,1
289,28,Other special machinery,central,2020,74.2,0.5172302,-0.65926724,1
510,5,Mining of hard coal,east,2019,70.4,0.12780553,-2.0572455,1
171,17,Pulp and paper,west,2019,70.4,0.2793,-1.27546881,0
710,7,Mining of iron ores,south,2010,45.7,0.2340184,-1.45235552,1
531,53,Postal activities,central,2018,68.4,0.08957912,-2.41263299,1
641,64,Banking,west,2016,67.1,0.00949109,-4.65740147,1
271,27,Electric motors,central,2016,67.1,0.48220608,-0.72938369,1
141,1,Raising cattle,north,2021,73.9,0.20426079,-1.58835772,1
181,18,Printing and publishing,north,2017,65.1,0.08129775,-2.5096369,0
531,53,Postal activities,east,2011,46.7,0.08079718,-2.51581322,1
681,68,Real estate activities,west,2012,53.4,0.02367447,-3.74335819,1
631,63,Data processing,east,2012,53.4,0.02803844,-3.57417897,1
291,29,Motor vehicles,south,2022,78.6,0.34611901,-1.06097261,1
239,23,Other non-metallic mineral products,central,2023,83.1,0.38071855,-0.96569489,1
242,24,Basic precious metals,west,2021,73.9,0.79675117,-0.22721285,0
103,10,Processing fruits and vegetables,north,2018,68.4,0.08359344,-2.48179027,1
261,26,Electronic components,north,2014,61.0,0.47038539,-0.75420294,1
851,85,Pre-primary education,central,2012,53.4,0.01380688,-4.28258814,1
206,20,Other chemical products,north,2016,67.1,0.27336269,-1.29695584,1
211,21,Basic pharmaceuticals,north,2019,70.4,0.14922536,-1.90229762,1
141,1,Raising cattle,central,2019,70.4,0.20573293,-1.58117643,1
861,86,Hospital activities,central,2017,65.1,0.06033473,-2.80784731,1
311,3,Marine fishing,west,2013,58.6,0.07820845,-2.54837759,1
421,42,Roads and railways construction,west,2012,53.4,0.35727998,-1.02923554,0
131,13,Spinning and weaving,south,2022,78.6,0.1477249,-1.91240353,0
281,28,General machinery,east,2023,83.1,0.49005572,-0.71323618,1
131,13,Spinning and weaving,west,2015,65.5,0.20653181,-1.57730083,1
681,68,Real estate activities,east,2012,53.4,0.02536804,-3.67426522,1
411,41,Building construction,north,2019,70.4,0.28194538,-1.2660419,1
810,8,Quarrying of stone,central,2018,68.4,0.07730061,-2.56005339,0
192,19,Refined petroleum products,west,2011,46.7,1.24913032,0.22244756,1
900,90,Creative and performing arts,south,2018,68.4,0.01153374,-4.46247842,0
812,81,Building cleaning,south,2015,65.5,0.02144881,-3.84208634,1
232,23,Refractory products,east,2016,67.1,0.6094608,-0.49518065,1
151,1,Mixed farming,north,2015,65.5,0.09353756,-2.36939225,1
382,38,Treatment of non-hazardous waste,north,2021,73.9,0.22917201,-1.47328241,1
243,24,Aluminium,north,2014,61.0,9.09482402,2.20770546,1
275,27,Domestic appliances,east,2017,65.1,0.34298233,-1.07007636,1
262,26,Computers and peripherals,north,2023,83.1,0.19289941,-1.64558643,1
352,35,Gas distribution,central,2010,45.7,0.62213029,-0.47460574,0
551,55,Hotels,east,2018,68.4,0.11906833,-2.12805772,1
111,1,Growing cereals,central,2014,61.0,0.06307102,-2.76349385,1
551,55,Hotels,north,2016,67.1,0.1132977,-2.17773639,1
103,10,Processing fruits and vegetables,central,2013,58.6,0.08466777,-2.46902022,1
381,38,Collection of non-hazardous waste,central,2013,58.6,0.08069087,-2.51712986,1
681,68,Real estate activities,north,2018,68.4,0.01323403,-4.32496352,1
245,24,Copper products,south,2021,73.9,2.50337143,0.9176384,1
201,20,Basic chemicals,north,2010,45.7,0.66819928,-0.40316883,1
102,10,Processing fish,north,2020,74.2,0.13212753,-2.0239877,1
360,36,Water collection and supply,central,2013,58.6,0.077891,-2.55244491,1
235,23,Cement and lime,north,2023,83.1,0.9367556,-0.06533287,1
310,31,Furniture,north,2012,53.4,0.24459224,-1.40816277,1
861,86,Hospital activities,west,2014,61.0,0.04913738,-3.01313528,1
810,8,Quarrying of stone,west,2013,58.6,0.0820406,-2.50054108,1
181,18,Printing and publishing,south,2010,45.7,0.07760271,-2.55615294,1
853,85,Secondary education,south,2012,53.4,0.0088759,-4.72441521,1
491,49,Passenger rail transport,east,2023,83.1,0.0443979,-3.11456319,1
107,10,Bakery products,south,2023,83.1,0.0522729,-2.95127727,1
352,35,Gas distribution,central,2015,65.5,0.79805421,-0.22557875,1
120,12,Tobacco products,east,2021,73.9,0.07046004,-2.65270954,1
171,17,Pulp and paper,south,2012,53.4,0.40271152,-0.90953482,1
851,85,Pre-primary education,west,2017,65.1,0.01002231,-4.60294159,1
111,1,Growing cereals,south,2023,83.1,0.04026757,-3.21220896,1
461,46,Wholesale of agricultural materials,central,2013,58.6,0.04739761,-3.04918352,1
360,36,Water collection and supply,east,2017,65.1,0.09275957,-2.37774444,1
251,25,Structural metal products,west,2019,70.4,0.67154794,-0.39816987,1
203,20,Paints and coatings,east,2015,65.5,0.30928564,-1.17349002,1
475,47,Retail of household goods,north,2015,65.5,0.01694194,-4.07796307,1
251,25,Structural metal products,west,2011,46.7,0.70936454,-0.34338572,1
261,26,Electronic components,west,2010,45.7,0.36886846,-0.99731519,1
620,62,Computer programming and consultancy,north,2022,78.6,0.00994832,-4.61035204,1
782,78,Temporary employment agencies,west,2015,65.5,0.00599641,-5.11659372,1
204,20,Pharmaceuticals,south,2020,74.2,0.18501445,-1.68732133,1
239,23,Other non-metallic mineral products,east,2021,73.9,0.41631932,-0.87630271,1
206,20,Other chemical products,south,2010,45.7,0.34310814,-1.0697096,1
421,42,Roads and railways construction,north,2023,83.1,0.30827178,-1.17677349,0
321,3,Aquaculture,south,2019,70.4,0.06060468,-2.80338314,1
275,27,Domestic appliances,west,2023,83.1,0.25373287,-1.37147326,1
461,46,Wholesale of agricultural materials,central,2020,74.2,0.02423414,-3.7199927,1
931,93,Sports activities,south,2020,74.2,0.02055527,-3.88463776,1
511,51,Air passenger transport,central,2016,67.1,0.32221966,-1.1325218,1
352,35,Gas distribution,central,2011,46.7,0.58670751,-0.53322887,1
171,17,Pulp and paper,north,2018,68.4,0.33344968,-1.0982633,1
321,32,Jewellery,east,2011,46.7,0.43135449,-0.84082503,1
853,85,Secondary education,north,2019,70.4,0.01199656,-4.42313567,1
235,23,Cement and lime,central,2015,65.5,1.0272045,0.02684104,0
203,20,Paints and coatings,central,2015,65.5,0.35454699,-1.03691438,1
891,8,Mining of chemical minerals,east,2016,67.1,0.18548769,-1.68476679,1
891,8,Mining of chemical minerals,east,2010,45.7,0.25189173,-1.37875593,1
620,62,Computer programming and consultancy,east,2010,45.7,0.01685891,-4.08287621,0
900,90,Creative and performing arts,west,2013,58.6,0.01533955,-4.17732112,1
861,86,Hospital activities,north,2020,74.2,0.04792183,-3.03818415,1
461,46,Wholesale of agricultural materials,east,2013,58.6,0.05154095,-2.96537863,1
421,42,Roads and railways construction,central,2022,78.6,0.30586449,-1.18461312,1
231,23,Glass products,west,2022,78.6,0.37211952,-0.9885402,1
581,58,Publishing,south,2017,65.1,0.01608706,-4.12974,1
731,73,Advertising,central,2010,45.7,0.0100339,-4.60178591,1
531,53,Postal activities,central,2015,65.5,0.07479654,-2.59298359,1
191,19,Coke oven products,south,2021,73.9,0.69803765,-0.35948224,1
106,10,Grain mill products,south,2020,74.2,0.07042998,-2.65313625,1
289,28,Other special machinery,central,2010,45.7,0.50916142,-0.67499017,1
110,11,Beverages,south,2010,45.7,0.10909423,-2.21554331,0
620,62,Computer programming and consultancy,north,2013,58.6,0.01542057,-4.17205302,1
461,46,Wholesale of agricultural materials,west,2011,46.7,0.02960626,-3.5197693,1
239,23,Other non-metallic mineral products,central,2015,65.5,0.40225263,-0.91067496,1
181,18,Printing and publishing,central,2022,78.6,0.0684535,-2.68160063,1
232,23,Refractory products,south,2010,45.7,0.53270693,-0.62978385,1
421,42,Roads and railways construction,central,2021,73.9,0.28116729,-1.26880547,1
492,49,Freight rail transport,west,2021,73.9,0.02624592,-3.64024469,0
271,27,Electric motors,east,2016,67.1,0.59624262,-0.51710762,0
205,20,Soap and detergents,central,2022,78.6,0.21117589,-1.55506391,0
812,81,Building cleaning,east,2022,78.6,0.01426408,-4.25001074,1
851,85,Pre-primary education,north,2022,78.6,0.00819221,-4.8045714,1
151,1,Mixed farming,central,2014,61.0,0.0661078,-2.71646852,1
881,88,Social work,central,2019,70.4,0.00749402,-4.89364981,1
531,53,Postal activities,central,2012,53.4,0.08303934,-2.48844084,1
462,46,Wholesale of textiles,east,2012,53.4,0.04367493,-3.13098103,1
201,20,Basic chemicals,west,2010,45.7,0.73952561,-0.30174637,1
360,36,Water collection and supply,central,2012,53.4,0.08592961,-2.45422681,1
211,21,Basic pharmaceuticals,west,2015,65.5,0.17018376,-1.77087651,1
291,29,Motor vehicles,north,2012,53.4,0.50905816,-0.67519301,1
561,56,Restaurants,west,2019,70.4,0.05576604,-2.88659021,1
120,12,Tobacco products,south,2015,65.5,0.05959371,-2.82020524,0
251,25,Structural metal products,central,2017,65.1,0.96339079,-0.03729615,1
271,27,Electric motors,east,2014,61.0,0.99366057,-0.00635961,1
891,8,Mining of chemical minerals,central,2017,65.1,0.18806196,-1.67098377,1
853,85,Secondary education,central,2016,67.1,0.01122465,-4.48964319,0
151,15,Leather tanning,west,2013,58.6,0.16759625,-1.78619745,1
121,1,Growing vegetables,west,2012,53.4,0.05310418,-2.93549964,1
491,49,Passenger rail transport,east,2014,61.0,0.05269719,-2.94319323,0
141,14,Wearing apparel,east,2012,53.4,0.12453917,-2.08313501,1
110,11,Beverages,west,2022,78.6,0.07257709,-2.62310594,1
510,5,Mining of hard coal,west,2013,58.6,0.1646216,-1.80410578,1
102,10,Processing fish,south,2018,68.4,0.08897473,-2.41940287,1
521,52,Cargo warehousing,central,2021,73.9,0.03855556,-3.25565503,1
106,10,Grain mill products,central,2021,73.9,0.07079685,-2.64794083,1
631,63,Data processing,south,2010,45.7,0.02921206,-3.53317363,1
321,3,Aquaculture,south,2010,45.7,0.0659344,-2.71909503,1
383,38,Recycling of metal waste,central,2013,58.6,0.09722784,-2.33069821,1
243,24,Aluminium,east,2011,46.7,9.8325818,2.28570154,1
491,49,Passenger rail transport,east,2018,68.4,0.05142295,-2.96767078,1
782,78,Temporary employment agencies,east,2021,73.9,0.00417894,-5.47769652,1
711,71,Architecture and engineering,north,2019,70.4,0.00820343,-4.80320303,1
891,8,Mining of chemical minerals,central,2021,73.9,0.13486669,-2.00346846,1
960,96,Personal service activities,south,2015,65.5,0.01541217,-4.17259805,0
102,10,Processing fish,west,2017,65.1,0.10040942,-2.29849929,0
521,52,Cargo warehousing,east,2023,83.1,0.03506086,-3.35066987,1
381,38,Collection of non-hazardous waste,east,2013,58.6,0.1082374,-2.22342833,1
211,21,Basic pharmaceuticals,west,2020,74.2,0.1392774,-1.97128768,1
381,38,Collection of non-hazardous waste,east,2011,46.7,0.09014765,-2.40630637,1
782,78,Temporary employment agencies,south,2015,65.5,0.00461932,-5.37750669,1
104,10,Vegetable and animal oils,north,2015,65.5,0.08037555,-2.5210452,1
205,20,Soap and detergents,south,2012,53.4,0.24199721,-1.41882907,1
521,52,Cargo warehousing,east,2022,78.6,0.05827785,-2.84253323,1
462,46,Wholesale of textiles,north,2018,68.4,0.03092025,-3.47634412,0
512,51,Air freight,north,2022,78.6,1.25454852,0.22677576,1
103,10,Processing fruits and vegetables,north,2017,65.1,0.12412369,-2.08647669,1
303,30,Aircraft,south,2018,68.4,0.24272922,-1.41580878,1
462,46,Wholesale of textiles,north,2017,65.1,0.03128381,-3.46465464,1
611,61,Wired telecommunications,south,2010,45.7,0.03846143,-3.25809929,1
510,5,Mining of hard coal,central,2012,53.4,0.17581548,-1.73832025,1
631,63,Data processing,north,2015,65.5,0.03592158,-3.32641716,1
104,10,Vegetable and animal oils,south,2011,46.7,0.09883248,-2.314329,0
251,25,Structural metal products,east,2018,68.4,0.87185545,-0.13713163,1
206,20,Other chemical products,central,2011,46.7,0.40032762,-0.91547201,1
235,23,Cement and lime,east,2017,65.1,1.22191391,0.20041841,1
275,27,Domestic appliances,west,2016,67.1,0.34048099,-1.07739598,0
711,71,Architecture and engineering,east,2013,58.6,0.01355821,-4.30076336,1
106,10,Grain mill products,north,2012,53.4,0.09486516,-2.35529872,1
720,7,Mining of non-ferrous metal ores,south,2018,68.4,0.2479716,-1.39444104,1
293,29,Auto parts and accessories,central,2013,58.6,0.46197333,-0.77224813,0
451,45,Sale of motor vehicles,central,2020,74.2,0.02587041,-3.65465536,1
711,71,Architecture and engineering,west,2010,45.7,0.01449497,-4.23395384,1
102,10,Processing fish,south,2018,68.4,0.10764532,-2.22891352,1
203,20,Paints and coatings,central,2023,83.1,0.24495076,-1.40669807,1
211,21,Basic pharmaceuticals,south,2020,74.2,0.16607219,-1.79533273,1
861,86,Hospital activities,east,2018,68.4,0.0702617,-2.65552847,1
110,11,Beverages,south,2014,61.0,0.1089166,-2.21717286,1
221,22,Rubber products,west,2017,65.1,0.24155809,-1.42064529,1
431,43,Demolition and site preparation,west,2020,74.2,0.14568288,-1.92632307,0
192,19,Refined petroleum products,east,2020,74.2,0.8007864,-0.22216103,0
782,78,Temporary employment agencies,east,2015,65.5,0.00651534,-5.03359549,1
611,61,Wired telecommunications,south,2020,74.2,0.02824218,-3.56693857,1
931,93,Sports activities,north,2021,73.9,0.02310813,-3.76757059,1
510,5,Mining of hard coal,east,2014,61.0,0.22548138,-1.48951771,1
651,65,Insurance,south,2014,61.0,0.00602154,-5.11241175,1
491,49,Passenger rail transport,east,2019,70.4,0.04228045,-3.16343059,1
431,43,Demolition and site preparation,west,2022,78.6,0.13934334,-1.97081429,0
231,23,Glass products,east,2013,58.6,0.57610445,-0.5514663,1
641,64,Banking,east,2012,53.4,0.01075018,-4.53283253,0
710,7,Mining of iron ores,west,2012,53.4,0.33941271,-1.08053849,1
105,10,Dairy products,central,2022,78.6,0.12985041,-2.04137215,1
271,27,Electric motors,east,2018,68.4,0.5349121,-0.62565284,1
382,38,Treatment of non-hazardous waste,west,2019,70.4,0.21465296,-1.53873268,1
101,10,Processing meat,east,2018,68.4,0.13169734,-2.02724886,0
106,10,Grain mill products,central,2012,53.4,0.1382805,-1.97847107,1
239,23,Other non-metallic mineral products,central,2023,83.1,0.33958923,-1.08001854,1
245,24,Copper products,east,2021,73.9,3.51986112,1.25842153,0
141,1,Raising cattle,central,2022,78.6,0.19053127,-1.65793894,1
291,29,Motor vehicles,central,2018,68.4,0.47802074,-0.73810116,1
931,93,Sports activities,west,2021,73.9,0.02902392,-3.53963494,1
411,41,Building construction,north,2019,70.4,0.30220455,-1.19665116,1
243,24,Aluminium,south,2021,73.9,8.1569242,2.09886716,1
